query_cid,query_smiles,query_energy,query_category,query_functional_group,query_formula,rank,ref_cid,ref_smiles,ref_status,distance
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,strong_binder,Amine_secondary,C24H33FN4O,6,43084048,CC1=C(C=CC(=C1)F)NC(C)C(=O)NC2CCCC2,Success,0.000881
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,strong_binder,Amine_secondary,C24H33FN4O,7,166276937,CC1=CC2=C(CC(N2)C(=O)NCC3(CC(C3)(C)C)CO)C(=C1)F,Success,0.000885
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,strong_binder,Amine_secondary,C24H33FN4O,8,79054576,CCN1CCC(CC1)(C(=O)N)NC2=CC(=CC(=C2)C)F,Success,0.000891
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,strong_binder,Amine_secondary,C24H33FN4O,9,108417265,CC(C)CN1CCC(CC1)(C(=O)N)NC2=CC(=CC=C2)F,Success,0.000894
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,strong_binder,Amine_secondary,C24H33FN4O,10,62811535,CC1=C(C=CC(=C1)NC(C)C(=O)NC2CCCC2)F,Success,0.000895
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,strong_binder,Amine_secondary,C24H33FN4O,11,60672552,CCC(C)(C)NC(=O)CNC1=C(C=C(C=C1)F)C,Success,0.000913
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,strong_binder,Amine_secondary,C24H33FN4O,12,166304339,CC1CC(C1)(CNC(=O)C2CC3=C(N2)C=C(C=C3F)C)CO,Success,0.000919
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,strong_binder,Amine_secondary,C24H33FN4O,13,80153775,CC1=CC(=C(C=C1F)[C@H](C)O)N2CCCCC2C(=O)NC,Success,0.000919
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,strong_binder,Amine_secondary,C24H33FN4O,14,61636565,CCC(C)(C)NC(=O)CNC1=C(C(=CC=C1)F)C,Success,0.000921
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,strong_binder,Amine_secondary,C24H33FN4O,15,8484161,CC1=C(C=C(C=C1)N[C@H](C)C(=O)NC2CCCC2)F,Success,0.000923
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,strong_binder,Azine,C18H17N3O3,6,136108823,CC(=NC1=CC=C(C=C1)C2=NNC(=O)CC2)C3=C(C=C(C=C3O)O)O,Success,0.001199
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,strong_binder,Azine,C18H17N3O3,7,159273206,CC(C)C1=CC(=C(C=C1O)O)C(=NC2=CC=C(C=C2)OC)N,Success,0.001221
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,strong_binder,Azine,C18H17N3O3,8,163628402,CC(C)C1=CC(=C(C=C1O)O)C(=NC2=CC=C(C=C2)O)NN,Success,0.001231
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,strong_binder,Azine,C18H17N3O3,9,136067678,CC1=C2C(=CC=C1)CSC(=N2)C3=C(C=C(C=C3)O)O,Success,0.001255
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,strong_binder,Azine,C18H17N3O3,10,137207533,CC(C)(C)C1=CC(=C(C(=C1)C(=N)C2=CC=C(C=C2)O)O)C(=N)C3=CC=C(C=C3)O,Success,0.001269
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,strong_binder,Azine,C18H17N3O3,11,136707521,CC(CN=C(C)C1=C(C=C(C=C1)O)O)N=CC2=CC=CC=C2O,Success,0.001269
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,strong_binder,Azine,C18H17N3O3,12,158622644,CC\1=NC=C(/C1=C\CC2=CC=CC=C2O)O,Success,0.001273
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,strong_binder,Azine,C18H17N3O3,13,135954837,CC(=NCCN=C(C)C1=C(C=CC(=C1)O)O)C2=C(C=CC(=C2)O)O,Success,0.001275
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,strong_binder,Azine,C18H17N3O3,14,136235045,CC1=CC(=CC(=C1O)C)N=CC2=CC=CC=C2O,Success,0.001278
