title,year,journal,impact_factor,molecule_name,molecule_cid,molecule_smiles,molecule_type,functional_groups,role,interface_location,pce_max,voc,jsc,ff,perovskite_type,stability
A donor-acceptor-type hole-selective contact reducing non-radiative recombination losses in both subcells towards efficient all-perovskite tandems,,NATURE ENERGY,60.1,MPA2FPh-BT-BA (2F),,,donor-acceptor-type molecule,,hole-selective contact,suitable to both wide-bandgap (WBG) and low-bandgap (LBG) subcells,27.22,,,,metal halide perovskites,operational stability: None None (None)
Co-crystal engineering of a two-dimensional perovskite phase for perovskite solar modules with improved efficiency and stability,,NATURE ENERGY,60.1,benzoguanamine,7064,,neutral molecule,,linker in low-dimensional perovskites,co-crystal layer onto the perovskite layer,23.4,,,,two-dimensional perovskite interlayers,"retained efficiency after light soaking: 95 % (>5,000 h of 1-sun light soaking at maximum power point conditions); retained efficiency after ultraviolet-ray exposure: 98 % (>1,000 h of ultraviolet-ray exposure at maximum power point conditions); retained efficiency after thermal stress: 91 % (>5,000 h of continuous thermal stress at 85 degrees C)"
Determining the bonding-degradation trade-off at heterointerfaces for increased efficiency and stability of perovskite solar cells,,NATURE ENERGY,60.1,Me-4PACz,164186534,,,phosphonic acid anchoring groups,enhance bonding at both the metal oxide and the perovskite interfaces,both the metal oxide and the perovskite interfaces,25.6,,,,,"performance retention: 90 % (after 1,000 h of testing under ISOS-L-1I and ISOS-D-2I standard protocols); thermal cycling retention: 95 % (over 500 cycles, exceeding the IEC 61215 and ISOS-T-3I standards); fracture energy: similar to 2.49 J m(-2) to similar to 0.38 J m(-2) J m(-2) (None)"
Determining the bonding-degradation trade-off at heterointerfaces for increased efficiency and stability of perovskite solar cells,,NATURE ENERGY,60.1,DCZ-4P,,,,phosphonic acid anchoring groups,enhance bonding at both the metal oxide and the perovskite interfaces,both the metal oxide and the perovskite interfaces,25.6,,,,,"performance retention: 90 % (after 1,000 h of testing under ISOS-L-1I and ISOS-D-2I standard protocols); thermal cycling retention: 95 % (over 500 cycles, exceeding the IEC 61215 and ISOS-T-3I standards); fracture energy: similar to 2.49 J m(-2) to similar to 0.38 J m(-2) J m(-2) (None)"
Fabrication of perovskite solar cells in ambient air by blocking perovskite hydration with guanabenz acetate salt,,NATURE ENERGY,60.1,guanabenz acetate salt,,,salt,,"eliminates both cation and anion vacancies, blocking the perovskite hydration and allowing the crystallization of a high-quality film in ambient air.",,25.08,,,,,"efficiency retention: 96 % (after 2,000 hours of ageing in ambient air); efficiency retention: 96 % (after 500 hours of operating at the maximum power point under simulated air mass (AM) 1.5 G solar light in a N2 atmosphere); efficiency retention: 85 % (after 300 hours under damp heat conditions (85 degrees C and 85% relative humidity))"
Fluorinated isopropanol for improved defect passivation and reproducibility in perovskite solar cells,,NATURE ENERGY,60.1,isopropanol,3776,,solvent,,component of rinse solvent mixture that removes excess passivator molecule,surface,,,,,low-dimensional perovskite,stability: None None (None)
Harmonizing the bilateral bond strength of the interfacial molecule in perovskite solar cells,,NATURE ENERGY,60.1,bis(2-aminoethyl) ether (BAE),75982,,interfacial molecule,,interfacial molecule between the perovskite and the electron transport layer (ETL) in n-i-p PSCs,between the perovskite and the electron transport layer (ETL),26.5,,,,,stability: None None (None)
Inorganic wide-bandgap perovskite subcells with dipole bridge for all-perovskite tandems,,NATURE ENERGY,60.1,C-60,,,C-60,,,inorganic perovskite/fullerene interface,25.6,,,,Inorganic CsPbI3-xBrx perovskites,"performance retention: 96 % (after 1,000 h of simulated 1-sun operation at the maximum power point)"
Inorganic wide-bandgap perovskite subcells with dipole bridge for all-perovskite tandems,,NATURE ENERGY,60.1,fullerene,,,fullerene,,,inorganic perovskite/fullerene interface,25.6,,,,Inorganic CsPbI3-xBrx perovskites,"performance retention: 96 % (after 1,000 h of simulated 1-sun operation at the maximum power point)"
"Multifunctional sulfonium-based treatment for perovskite solar cells with less than 1% efficiency loss over 4,500-h operational stability tests",,NATURE ENERGY,60.1,dimethylphenethylsulfonium iodide (DMPESI),12587531,,sulfonium-based molecule,sulfonium,post-deposition treatment,,,,,,formamidinium lead iodide perovskite,"light soaking stability: None None (None); phase retention: None None (after two years ageing under ambient condition without encapsulation); performance loss at maximum power point tracking: <1 % (after more than 4,500 h at maximum power point tracking); T80: >9 years (under continuous 1-sun illumination); power conversion efficiency drop under ageing tests: <5 % (including 100 thermal cycles between 25 degrees C and 85 degrees C and an 1,050-h damp heat test)"
