journal_name,journal_name_norm,issn,eissn,jcr_year,jif,categories,source_files,% of Articles in Citable items,% of Citable OA,2024 JCI,2024 JIF,5 Year JIF,5 Year JIF Quartile,AIS Quartile,AIS Rank,Article Influence Score,Citable Items,Cited Half-Life,Citing Half-Life,Edition,Eigenfactor,Immediacy Index,JCI Percentile,JCI Quartile,JCI Rank,JCR Abbreviation,JIF Percentile,JIF Quartile,JIF Rank,JIF Without Self Cites,Normalized Eigenfactor,Publisher,Total Articles,Total Citations
Nature Reviews Materials,NATURE REVIEWS MATERIALS,2058-8437,2058-8437,2024,87.2,"MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv",16.67%,2.72%,4.44,87.2,100.2,Q1,Q1,1/147 | 1/455,27.791,60,4.9,5,SCIE,0.055,11.9,98.30 | 98.60,Q1,3/147 | 7/463,NAT REV MATER,99.7 | 99.9,Q1,1/147 | 1/461,86.9,12.328,NATURE PORTFOLIO,10,"43,197"
Living Reviews in Relativity,LIVING REVIEWS IN RELATIVITY,2367-3613,1433-8351,2024,62.5,"PHYSICS, PARTICLES & FIELDS","PHYSICS, PARTICLES & FIELDS_JCR_JournalResults_02_2026.csv",0%,100%,5.84,62.5,52.4,Q1,Q1,1/31,17.603,6,11,13.3,SCIE,0.003,7.5,98.39,Q1,1/31,LIVING REV RELATIV,98.4,Q1,1/31,62.5,0.747,SPRINGER INT PUBL AG,0,"5,042"
Nature Energy,NATURE ENERGY,2058-7546,2058-7546,2024,60.1,"ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY","ENERGY & FUELS_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",96.4%,19.63%,8.48,60.1,68.9,Q1,Q1,1/173 | 2/455,19.882,222,4.8,4.7,SCIE,0.083,9.4,99.73 | 99.89,Q1,1/182 | 1/463,NAT ENERGY,99.7,Q1,1/182 | 2/461,59.4,18.483,NATURE PORTFOLIO,214,"55,904"
CHEMICAL REVIEWS,CHEMICAL REVIEWS,0009-2665,1520-6890,2024,55.8,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",0%,23.27%,4.03,55.8,67.5,Q1,Q1,1/238,15.818,212,8.3,7.4,SCIE,0.157,12,99.38,Q1,2/241,CHEM REV,99.8,Q1,1/239,55.3,35.253,AMER CHEMICAL SOC,0,"246,621"
Nature Reviews Chemistry,NATURE REVIEWS CHEMISTRY,,2397-3358,2024,51.7,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",0%,2.82%,3.28,51.7,49.4,Q1,Q1,2/238,13.725,48,4.1,6.4,SCIE,0.025,8.6,97.72,Q1,6/241,NAT REV CHEM,99.4,Q1,2/239,51.4,5.652,NATURE PORTFOLIO,0,"16,326"
IEEE Communications Surveys and Tutorials,IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,,1553-877X,2024,46.7,"COMPUTER SCIENCE, INFORMATION SYSTEMS","COMPUTER SCIENCE, INFORMATION SYSTEMS_JCR_JournalResults_02_2026.csv",100%,14.98%,10.34,46.7,42.8,Q1,Q1,1/249,10.709,74,5.2,5.2,SCIE,0.038,11,99.81,Q1,1/258,IEEE COMMUN SURV TUT,99.8,Q1,1/258,45.6,8.461,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,74,"33,160"
REVIEWS OF MODERN PHYSICS,REVIEWS OF MODERN PHYSICS,0034-6861,1539-0756,2024,44.8,"PHYSICS, MULTIDISCIPLINARY","PHYSICS, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",0%,3.96%,4.08,44.8,56.3,Q1,Q1,1/111,20.475,32,14.9,9.9,SCIE,0.027,8.4,98.68,Q1,2/114,REV MOD PHYS,99.6,Q1,1/114,44.6,6.116,AMER PHYSICAL SOC,0,"65,614"
Nature Catalysis,NATURE CATALYSIS,2520-1158,2520-1158,2024,44.6,"CHEMISTRY, PHYSICAL","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv",94.55%,15.09%,5.64,44.6,47.4,Q1,Q1,2/185,13.882,165,4.1,6.5,SCIE,0.058,7.1,99.19,Q1,2/185,NAT CATAL,99.7,Q1,1/185,44.2,12.979,NATURE PORTFOLIO,156,"32,070"
Nature Electronics,NATURE ELECTRONICS,2520-1131,2520-1131,2024,40.9,"ENGINEERING, ELECTRICAL & ELECTRONIC","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",93.59%,13.54%,7.23,40.9,42,Q1,Q1,1/359,12.846,156,3.8,5.3,SCIE,0.04,4.5,99.86,Q1,1/368,NAT ELECTRON,99.9,Q1,1/368,40.1,8.991,NATURE PORTFOLIO,146,"20,582"
PROGRESS IN MATERIALS SCIENCE,PROGRESS IN MATERIALS SCIENCE,0079-6425,1873-2208,2024,40.0,"MATERIALS SCIENCE, MULTIDISCIPLINARY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",0%,19.3%,2.42,40,44.8,Q1,Q1,6/455,8.437,126,5.8,5.4,SCIE,0.027,8.2,94.28,Q1,27/463,PROG MATER SCI,99.5,Q1,3/461,39.6,5.95,PERGAMON-ELSEVIER SCIENCE LTD,0,"36,931"
Nature Reviews Physics,NATURE REVIEWS PHYSICS,,2522-5820,2024,39.5,"PHYSICS, APPLIED | PHYSICS, MULTIDISCIPLINARY","PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv;PHYSICS, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",0%,1.52%,3.04,39.5,53.2,Q1,Q1,1/187 | 2/111,18.532,48,3.6,6.4,SCIE,0.033,6.8,96.93 | 97.06,Q1,4/114 | 6/187,NAT REV PHYS,98.7 | 99.7,Q1,1/187 | 2/114,39.2,7.304,NATURE PORTFOLIO,0,"12,208"
CHEMICAL SOCIETY REVIEWS,CHEMICAL SOCIETY REVIEWS,0306-0012,1460-4744,2024,39.3,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",0%,28.88%,2.95,39.3,50.2,Q1,Q1,3/238,10.821,309,7.4,5.8,SCIE,0.12,9.7,96.89,Q1,8/241,CHEM SOC REV,99.0,Q1,3/239,38.8,26.984,ROYAL SOC CHEMISTRY,0,"183,462"
NATURE MATERIALS,NATURE MATERIALS,1476-1122,1476-4660,2024,38.5,"CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED | PHYSICS, CONDENSED MATTER","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv;PHYSICS, CONDENSED MATTER_JCR_JournalResults_02_2026.csv",96.44%,18.12%,5.99,38.5,46.8,Q1,Q1,1/185 | 2/187 | 2/79 | 3/455,14.725,281,8.3,6.7,SCIE,0.101,5.9,99.20 | 99.38 | 99.68 | 99.73,Q1,1/185 | 1/80 | 2/187 | 2/463,NAT MATER,99.2 | 99.4,Q1,1/80 | 2/185 | 2/187 | 4/461,38.2,22.59,NATURE PORTFOLIO,271,"115,316"
Nature Reviews Bioengineering,NATURE REVIEWS BIOENGINEERING,,2731-6092,2024,37.6,"MATERIALS SCIENCE, BIOMATERIALS","MATERIALS SCIENCE, BIOMATERIALS_JCR_JournalResults_02_2026.csv",1.39%,4.92%,3.25,37.6,37.6,Q1,Q1,1/54,10.409,72,1.3,5.7,ESCI,0.004,8.8,97.27,Q1,2/55,NAT REV BIOENG,99.1,Q1,1/55,36.8,0.92,SPRINGERNATURE,1,"2,516"
