Journal name,Impact factor,Paper count
NATURE ENERGY,60.1,12
NATURE,48.5,6
SCIENCE,45.8,10
NATURE MATERIALS,38.5,2
NATURE PHOTONICS,32.9,8
NATURE CHEMISTRY,20.2,1
NATURE SYNTHESIS,20.0,1
NATURE COMMUNICATIONS,15.7,29
SCIENCE ADVANCES,13.6,4
NANO-MICRO LETTERS,36.3,7
JOULE,35.4,17
INTERDISCIPLINARY MATERIALS,31.6,4
ADVANCED MATERIALS,30.2,101
ENERGY & ENVIRONMENTAL SCIENCE,29.1,42
ADVANCED ENERGY MATERIALS,26.9,98
LIGHT-SCIENCE & APPLICATIONS,23.4,1
INFOMAT,22.7,4
ACS ENERGY LETTERS,22.0,46
ADVANCED COMPOSITES AND HYBRID MATERIALS,21.8,2
ADVANCED FIBER MATERIALS,21.3,1
MATERIALS TODAY,21.1,1
NATIONAL SCIENCE REVIEW,20.6,3
MATTER,19.7,1
ADVANCED FUNCTIONAL MATERIALS,19.5,161
SCIENCE BULLETIN,18.9,4
NANO ENERGY,16.8,57
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.1,98
ACS NANO,16.0,15
ENERGY MATERIAL ADVANCES,15.9,1
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,15.6,34
CHEMICAL ENGINEERING JOURNAL,15.1,152
ACCOUNTS OF MATERIALS RESEARCH,14.7,5
ADVANCED SCIENCE,14.3,16
ENERGY & ENVIRONMENTAL MATERIALS,14.1,2
JOURNAL OF ENERGY CHEMISTRY,14.0,49
ACTA PHYSICO-CHIMICA SINICA,13.7,7
SMALL,13.3,92
CARBON NEUTRALITY,12.5,1
SMALL METHODS,12.4,11
CARBON NEUTRALIZATION,12.0,1
SMALL STRUCTURES,12.0,3
JOURNAL OF MATERIALS CHEMISTRY A,11.9,123
NPJ COMPUTATIONAL MATERIALS,11.9,2
ECOMAT,11.8,1
MATERIALS TODAY PHYSICS,11.5,2
ENERGY MATERIALS,11.2,1
GREEN CHEMISTRY,11.0,1
RARE METALS,11.0,3
RESEARCH,11.0,2
CARBON,10.9,1
MATERIALS HORIZONS,10.7,2
BIOSENSORS & BIOELECTRONICS,10.5,1
CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,10.3,1
JOURNAL OF COLLOID AND INTERFACE SCIENCE,9.9,9
SCIENCE CHINA-CHEMISTRY,9.7,15
COMMUNICATIONS MATERIALS,9.6,1
CCS CHEMISTRY,9.2,7
NANO LETTERS,9.1,12
RENEWABLE ENERGY,9.1,1
ADVANCED OPTICAL MATERIALS,9.0,15
NANO RESEARCH,9.0,11
CELL REPORTS PHYSICAL SCIENCE,8.9,9
CHINESE CHEMICAL LETTERS,8.9,6
ACS MATERIALS LETTERS,8.7,6
JACS AU,8.7,3
MATERIALS TODAY ENERGY,8.6,17
TRANSACTIONS OF TIANJIN UNIVERSITY,8.5,1
ACS SUSTAINABLE CHEMISTRY & ENGINEERING,8.4,18
CHEMSUSCHEM,8.4,20
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,8.3,2
SMALL SCIENCE,8.3,1
ACS APPLIED MATERIALS & INTERFACES,8.2,194
JOURNAL OF POWER SOURCES,8.1,36
MATERIALS TODAY ADVANCES,8.1,1
MATERIALS & DESIGN,7.9,1
RESULTS IN ENGINEERING,7.9,1
SENSORS AND ACTUATORS B-CHEMICAL,7.7,2
PROGRESS IN PHOTOVOLTAICS,7.6,2
CHEMICAL RECORD,7.5,3
CHEMICAL SCIENCE,7.4,11
SCIENCE CHINA-MATERIALS,7.4,8
MATERIALS TODAY CHEMISTRY,7.3,3
MATERIALS TODAY SUSTAINABILITY,7.1,4
ADVANCED MATERIALS TECHNOLOGIES,7.0,1
CHEMISTRY OF MATERIALS,7.0,27
APPLIED MATERIALS TODAY,6.9,1
ACS PHOTONICS,6.7,4
APPLIED SURFACE SCIENCE,6.7,17
NANOSCALE,6.7,20
NANOPHOTONICS,6.6,1
NANOSCALE HORIZONS,6.6,1
SOLAR ENERGY,6.6,30
ACS APPLIED ENERGY MATERIALS,6.4,95
INORGANIC CHEMISTRY FRONTIERS,6.4,3
JOURNAL OF MATERIALS CHEMISTRY C,6.4,75
MATERIALS CHEMISTRY FRONTIERS,6.4,7
JOURNAL OF PHYSICS-ENERGY,6.3,1
SOLAR ENERGY MATERIALS AND SOLAR CELLS,6.3,23
SURFACES AND INTERFACES,6.3,9
ADVANCED ELECTRONIC MATERIALS,6.2,4
