Journal name,Impact factor,Paper count
NATURE ENERGY,60.1,16
NATURE,48.5,13
SCIENCE,45.8,15
NATURE MATERIALS,38.5,5
NATURE NANOTECHNOLOGY,37.2,1
NATURE PHOTONICS,32.9,10
NATURE CHEMISTRY,20.2,1
NATURE SYNTHESIS,20.0,2
NATURE COMMUNICATIONS,15.7,46
SCIENCE ADVANCES,13.6,5
NANO-MICRO LETTERS,36.3,9
JOULE,35.4,22
INTERDISCIPLINARY MATERIALS,31.6,4
ADVANCED MATERIALS,30.2,141
ENERGY & ENVIRONMENTAL SCIENCE,29.1,58
ADVANCED ENERGY MATERIALS,26.9,133
CHEM,23.5,1
LIGHT-SCIENCE & APPLICATIONS,23.4,2
INFOMAT,22.7,4
ACS ENERGY LETTERS,22.0,69
ADVANCED COMPOSITES AND HYBRID MATERIALS,21.8,2
ADVANCED FIBER MATERIALS,21.3,1
APPLIED CATALYSIS B-ENVIRONMENTAL,21.1,2
MATERIALS TODAY,21.1,1
NATIONAL SCIENCE REVIEW,20.6,3
MATTER,19.7,2
ADVANCED FUNCTIONAL MATERIALS,19.5,209
SCIENCE BULLETIN,18.9,6
NANO ENERGY,16.8,68
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.1,124
ACS NANO,16.0,22
ENERGY MATERIAL ADVANCES,15.9,1
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,15.6,54
CHEMICAL ENGINEERING JOURNAL,15.1,176
ACCOUNTS OF MATERIALS RESEARCH,14.7,6
ADVANCED SCIENCE,14.3,26
JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,14.3,1
ENERGY & ENVIRONMENTAL MATERIALS,14.1,2
JOURNAL OF ENERGY CHEMISTRY,14.0,70
ACTA PHYSICO-CHIMICA SINICA,13.7,9
SMALL,13.3,109
CARBON NEUTRALITY,12.5,1
SMALL METHODS,12.4,16
APPLIED PHYSICS REVIEWS,12.0,1
CARBON NEUTRALIZATION,12.0,1
SMALL STRUCTURES,12.0,4
JOURNAL OF MATERIALS CHEMISTRY A,11.9,176
NPJ COMPUTATIONAL MATERIALS,11.9,4
ECOMAT,11.8,4
MATERIALS TODAY PHYSICS,11.5,5
ENERGY MATERIALS,11.2,1
GREEN CHEMISTRY,11.0,1
RARE METALS,11.0,3
RESEARCH,11.0,2
CARBON,10.9,1
NANO TODAY,10.9,1
MATERIALS HORIZONS,10.7,3
BIOSENSORS & BIOELECTRONICS,10.5,1
CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,10.3,2
JOURNAL OF COLLOID AND INTERFACE SCIENCE,9.9,10
SCIENCE CHINA-CHEMISTRY,9.7,19
COMMUNICATIONS MATERIALS,9.6,2
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,9.4,3
CCS CHEMISTRY,9.2,7
NANO LETTERS,9.1,17
RENEWABLE ENERGY,9.1,1
ADVANCED OPTICAL MATERIALS,9.0,23
NANO RESEARCH,9.0,12
PHYSICAL REVIEW LETTERS,9.0,1
CELL REPORTS PHYSICAL SCIENCE,8.9,11
CHINESE CHEMICAL LETTERS,8.9,6
ACS MATERIALS LETTERS,8.7,9
JACS AU,8.7,4
MATERIALS TODAY ENERGY,8.6,20
TRANSACTIONS OF TIANJIN UNIVERSITY,8.5,1
ACS SUSTAINABLE CHEMISTRY & ENGINEERING,8.4,22
CHEMSUSCHEM,8.4,31
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,8.3,4
SMALL SCIENCE,8.3,1
ACS APPLIED MATERIALS & INTERFACES,8.2,268
JOURNAL OF POWER SOURCES,8.1,44
MATERIALS TODAY ADVANCES,8.1,1
ANALYTICAL CHEMISTRY,8.0,1
MATERIALS & DESIGN,7.9,1
RESULTS IN ENGINEERING,7.9,1
SENSORS AND ACTUATORS B-CHEMICAL,7.7,5
PROGRESS IN PHOTOVOLTAICS,7.6,4
CHEMICAL RECORD,7.5,5
CHEMICAL SCIENCE,7.4,18
SCIENCE CHINA-MATERIALS,7.4,9
MATERIALS TODAY CHEMISTRY,7.3,7
MATERIALS TODAY SUSTAINABILITY,7.1,4
ADVANCED MATERIALS TECHNOLOGIES,7.0,2
CHEMISTRY OF MATERIALS,7.0,44
APPLIED MATERIALS TODAY,6.9,1
ACS PHOTONICS,6.7,7
