query_name,query_cid,query_smiles,query_journal,rank,ref_cid,ref_smiles,ref_status,distance
benzoguanamine,7064,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,NATURE ENERGY,1,7064,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,Success,0.000000
benzoguanamine,7064,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,NATURE ENERGY,2,164728709,C1=CC(=CC=C1/C=C/C2=CC=C(C=C2)C3=NC(=NC(=N3)N)N)C4=NC(=NC(=N4)N)N,Success,0.000991
benzoguanamine,7064,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,NATURE ENERGY,3,21820783,C1=CC=C(C=C1)C(C2=NC(=NC(=N2)N)N)O,Success,0.001063
benzoguanamine,7064,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,NATURE ENERGY,4,164728715,C1=CC(=CC=C1C=NC2=CC=C(C=C2)C3=NC(=NC(=N3)N)N)C4=NC(=NC(=N4)N)N,Success,0.001116
benzoguanamine,7064,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,NATURE ENERGY,5,121376753,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=NC(=NC(=N3)N)C4=NC(=NC(=N4)N)N,Success,0.001133
benzoguanamine,7064,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,NATURE ENERGY,6,102587529,C1=CC(=CC=C1C2=CC=C(C=C2)C3=NC(=NC(=N3)N)N)C4=NC(=NC(=N4)N)N,Success,0.001176
benzoguanamine,7064,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,NATURE ENERGY,7,164728679,C1=CC(=CC=C1C2=NC(=NC(=N2)N)N)N=NC3=CC=C(C=C3)C4=NC(=NC(=N4)N)N,Success,0.001187
benzoguanamine,7064,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,NATURE ENERGY,8,112681587,C1=CC(=CN=C1)CC2=NC(=NC(=N2)N)N,Success,0.001212
benzoguanamine,7064,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,NATURE ENERGY,9,101806166,C1=CC=C(C=C1)NC2=NC(=NC(=N2)N)C3=NC(=NC(=N3)NC4=CC=CC=C4)N,Success,0.001233
benzoguanamine,7064,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,NATURE ENERGY,10,112681342,C1=CN=CC=C1CC2=NC(=NC(=N2)N)N,Success,0.001245
