query_cid,query_smiles,query_energy,query_functional_group,query_formula,rank,ref_cid,ref_smiles,ref_status,distance
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,Amine_secondary,C24H33FN4O,1,10179928,CC1=C(C(=C(C(=C1N)C)C)NCC(=O)N(C)C2CCN(CC2)C3=CC=C(C=C3)F)C,Success,0.000611
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,Amine_secondary,C24H33FN4O,2,10158611,CC1=C(C(=C(C(=C1C)NCC(=O)N(C)C2CCN(CC2)C3=CC=C(C=C3)F)C)N)C,Success,0.000752
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,Amine_secondary,C24H33FN4O,3,90903176,CC1=CC(=C(C(=C1N)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,Success,0.000776
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,Amine_secondary,C24H33FN4O,4,103590695,CC1=CC(=C(C=C1F)N)NC(C)C(=O)N2CCCCC2,Success,0.000847
91255983,CC1=C(C(=C(C(=C1N)C)C)NC(C)C(=O)NC2CCN(CC2)C3=CC=C(C=C3)F)C,-1.7297830134630772,Amine_secondary,C24H33FN4O,5,103590161,CC1=CC(=C(C=C1F)N)N2CCCCC2C(=O)NC,Success,0.000859
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,Azine,C18H17N3O3,1,175310460,CCC1=NN(CC2=C1C=C(C=C2O)O)C3=CC=C(C=C3)O,Success,0.001011
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,Azine,C18H17N3O3,2,164876958,CC(=CCC1=C(C(=C(C=C1O)OC)C2=CC(=NN2)C3=CC=C(C=C3)O)O)C,Success,0.001063
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,Azine,C18H17N3O3,3,146664970,CC1=CC=C(C=C1)C(=N)N=C(C)C2=C(C=C(C=C2)O)O,Success,0.001175
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,Azine,C18H17N3O3,4,136675119,CC(=NCCN=C(C)C1=C(C=C(C=C1)O)O)C2=C(C=C(C=C2)O)O,Success,0.001179
140362580,CC(=NC1=CC=C(C=C1)C2=NN=CCC2)C3=C(C=C(C=C3O)O)O,-1.8216663897038075,Azine,C18H17N3O3,5,135689604,CC1=CC(=CC(=C1N=CC2=C(C=C(C=C2)O)O)C)O,Success,0.001193
